"Time","409216A","409216A"
"and",100.00,2000.00
"Date","Water Level (m)","Rainfall (mm)"
"","Mean","Total"
09:00:00 04/12/1992,"",""
09:00:00 05/12/1992,     124.885,         0.0
09:00:00 06/12/1992,     124.875,         0.0
09:00:00 07/12/1992,     124.838,         0.0
09:00:00 08/12/1992,     124.821,         0.0
09:00:00 09/12/1992,     124.837,         0.0
09:00:00 10/12/1992,     124.863,         0.0
09:00:00 11/12/1992,     124.879,         0.0
09:00:00 12/12/1992,     124.882,         0.0
09:00:00 13/12/1992,     124.866,         0.0
09:00:00 14/12/1992,     124.834,         0.2
09:00:00 15/12/1992,     124.839,         1.4
09:00:00 16/12/1992,     124.860,         0.0
09:00:00 17/12/1992,     124.842,         0.0
09:00:00 18/12/1992,     124.847,         0.4
09:00:00 19/12/1992,     124.878,         0.0
09:00:00 20/12/1992,     124.891,         4.0
09:00:00 21/12/1992,     124.891,          23
09:00:00 22/12/1992,     124.881,         1.4
09:00:00 23/12/1992,     124.855,         0.2
09:00:00 24/12/1992,     124.839,         0.0
09:00:00 25/12/1992,     124.850,         0.0
09:00:00 26/12/1992,     124.877,         0.0
09:00:00 27/12/1992,     124.889,         0.0
09:00:00 28/12/1992,     124.880,         0.0
09:00:00 29/12/1992,     124.890,         0.0
09:00:00 30/12/1992,     124.931,         0.0
09:00:00 31/12/1992,     124.957,         0.0
09:00:00 01/01/1993,     124.957,         0.0
09:00:00 02/01/1993,     124.935,         0.0
09:00:00 03/01/1993,     124.923,         0.0
09:00:00 04/01/1993,     124.891,         0.0
09:00:00 05/01/1993,     124.915,         0.0
09:00:00 06/01/1993,     124.940,         0.0
09:00:00 07/01/1993,     124.957,         0.0
09:00:00 08/01/1993,     124.963,         0.0
09:00:00 09/01/1993,     124.957,         0.0
09:00:00 10/01/1993,     124.954,         0.0
09:00:00 11/01/1993,     124.968,         0.0
09:00:00 12/01/1993,     124.962,         0.0
09:00:00 13/01/1993,     124.944,         0.0
09:00:00 14/01/1993,     124.929,         0.0
09:00:00 15/01/1993,     124.907,         0.0
09:00:00 16/01/1993,     124.896,         0.0
09:00:00 17/01/1993,     124.903,         0.0
09:00:00 18/01/1993,     124.944,         1.0
09:00:00 19/01/1993,     124.993,         0.0
09:00:00 20/01/1993,     125.003,         0.0
09:00:00 21/01/1993,     125.023,         0.0
09:00:00 22/01/1993,     125.047,         0.0
09:00:00 23/01/1993,     125.053,         0.0
09:00:00 24/01/1993,     125.042,         0.0
09:00:00 25/01/1993,     125.037,         0.0
09:00:00 26/01/1993,     125.038,         0.0
09:00:00 27/01/1993,     125.007,         1.8
09:00:00 28/01/1993,     124.949,         0.8
09:00:00 29/01/1993,     124.944,         0.0
09:00:00 30/01/1993,     124.990,         0.0
09:00:00 31/01/1993,     125.055,         0.0
09:00:00 01/02/1993,     125.057,         0.0
09:00:00 02/02/1993,     125.033,         0.0
09:00:00 03/02/1993,     125.013,         0.0
09:00:00 04/02/1993,     125.000,         0.0
09:00:00 05/02/1993,     124.974,         0.0
09:00:00 06/02/1993,     124.948,         0.0
09:00:00 07/02/1993,     124.908,         0.0
09:00:00 08/02/1993,     124.854,         0.0
09:00:00 09/02/1993,     124.823,         0.2
09:00:00 10/02/1993,     124.844,         0.2
09:00:00 11/02/1993,     124.906,         0.0
09:00:00 12/02/1993,     124.949,         0.0
09:00:00 13/02/1993,     125.017,         0.0
09:00:00 14/02/1993,     125.070,         0.0
09:00:00 15/02/1993,     125.084,         0.2
09:00:00 16/02/1993,     125.061,         1.0
09:00:00 17/02/1993,     125.035,         0.0
09:00:00 18/02/1993,     125.022,         0.0
09:00:00 19/02/1993,     125.019,         0.0
09:00:00 20/02/1993,     125.015,         1.4
09:00:00 21/02/1993,     125.039,         0.2
09:00:00 22/02/1993,     125.056,         0.0
09:00:00 23/02/1993,     125.066,          14
09:00:00 24/02/1993,     125.075,         0.0
09:00:00 25/02/1993,     125.076,         0.0
09:00:00 26/02/1993,     125.039,         0.0
09:00:00 27/02/1993,     124.993,         0.0
09:00:00 28/02/1993,     124.946,         0.0
09:00:00 01/03/1993,     124.892,         3.2
09:00:00 02/03/1993,     124.862,         0.4
09:00:00 03/03/1993,     124.873,         0.0
09:00:00 04/03/1993,     124.925,         0.0
09:00:00 05/03/1993,     124.976,         0.0
09:00:00 06/03/1993,     125.014,         0.0
09:00:00 07/03/1993,     125.035,         3.6
09:00:00 08/03/1993,     125.029,         0.2
09:00:00 09/03/1993,     125.019,          14
09:00:00 10/03/1993,     125.034,         0.0
09:00:00 11/03/1993,     125.048,         0.0
09:00:00 12/03/1993,     125.053,         0.0
09:00:00 13/03/1993,     125.037,         0.0
09:00:00 14/03/1993,     124.996,         0.0
09:00:00 15/03/1993,     124.945,         0.0
09:00:00 16/03/1993,     124.886,         0.0
09:00:00 17/03/1993,     124.835,         0.0
09:00:00 18/03/1993,     124.809,         0.0
