"Time","FLOWTOSA"
"and",400.00
"Date","Discharge (ML/Day)"
"","Mean"
09:00:00 15/11/2009,        4809
09:00:00 16/11/2009,        4835
09:00:00 17/11/2009,        4838
09:00:00 18/11/2009,        4882
09:00:00 19/11/2009,        5253
09:00:00 20/11/2009,        5258
09:00:00 21/11/2009,        5095
09:00:00 22/11/2009,        5339
09:00:00 23/11/2009,        5165
09:00:00 24/11/2009,        4704
09:00:00 25/11/2009,        5031
09:00:00 26/11/2009,        5121
09:00:00 27/11/2009,        4873
09:00:00 28/11/2009,        4794
09:00:00 29/11/2009,        4686
09:00:00 30/11/2009,        4786
09:00:00 01/12/2009,        4764
09:00:00 02/12/2009,        4665
09:00:00 03/12/2009,        4655
09:00:00 04/12/2009,        4648
09:00:00 05/12/2009,        4761
09:00:00 06/12/2009,        4764
09:00:00 07/12/2009,        4690
09:00:00 08/12/2009,        4728
09:00:00 09/12/2009,        4732
09:00:00 10/12/2009,        4671
09:00:00 11/12/2009,        4668
09:00:00 12/12/2009,        4688
09:00:00 13/12/2009,        4647
09:00:00 14/12/2009,        4829
09:00:00 15/12/2009,        4933
09:00:00 16/12/2009,        4731
09:00:00 17/12/2009,        4905
09:00:00 18/12/2009,        5119
09:00:00 19/12/2009,        5030
09:00:00 20/12/2009,        4936
09:00:00 21/12/2009,        4940
09:00:00 22/12/2009,        4964
09:00:00 23/12/2009,        5089
09:00:00 24/12/2009,        5202
09:00:00 25/12/2009,        5330
09:00:00 26/12/2009,        5505
09:00:00 27/12/2009,        5677
09:00:00 28/12/2009,        5545
09:00:00 29/12/2009,        5234
09:00:00 30/12/2009,        5423
09:00:00 31/12/2009,        5873
09:00:00 01/01/2010,        6116
09:00:00 02/01/2010,        6405
09:00:00 03/01/2010,        6737
09:00:00 04/01/2010,        6931
09:00:00 05/01/2010,        7028
09:00:00 06/01/2010,        6993
09:00:00 07/01/2010,        6940
09:00:00 08/01/2010,        6971
09:00:00 09/01/2010,        6928
09:00:00 10/01/2010,        6870
09:00:00 11/01/2010,        6832
09:00:00 12/01/2010,        6672
09:00:00 13/01/2010,        6881
09:00:00 14/01/2010,        7143
09:00:00 15/01/2010,        7218
09:00:00 16/01/2010,        7226
09:00:00 17/01/2010,        7129
09:00:00 18/01/2010,        7065
09:00:00 19/01/2010,        7063
09:00:00 20/01/2010,        7156
09:00:00 21/01/2010,        7382
09:00:00 22/01/2010,        7793
09:00:00 23/01/2010,        8190
09:00:00 24/01/2010,        8322
09:00:00 25/01/2010,        8305
09:00:00 26/01/2010,        8236
09:00:00 27/01/2010,        8276
09:00:00 28/01/2010,        8356
09:00:00 29/01/2010,        8871
09:00:00 30/01/2010,        9286
09:00:00 31/01/2010,        9218
09:00:00 01/02/2010,        9163
09:00:00 02/02/2010,        9288
09:00:00 03/02/2010,        9284
09:00:00 04/02/2010,        9394
09:00:00 05/02/2010,        9371
09:00:00 06/02/2010,        9076
09:00:00 07/02/2010,        8805
09:00:00 08/02/2010,        8589
09:00:00 09/02/2010,        8488
09:00:00 10/02/2010,        8301
09:00:00 11/02/2010,        8170
09:00:00 12/02/2010,        8171
09:00:00 13/02/2010,        8297
09:00:00 14/02/2010,        8304
09:00:00 15/02/2010,        8221
09:00:00 16/02/2010,        8278
09:00:00 17/02/2010,        8156
09:00:00 18/02/2010,        7908
09:00:00 19/02/2010,        7890
09:00:00 20/02/2010,        8031
09:00:00 21/02/2010,        8146
09:00:00 22/02/2010,        8130
09:00:00 23/02/2010,        7616
09:00:00 24/02/2010,        7617
09:00:00 25/02/2010,        7986
09:00:00 26/02/2010,        7980
09:00:00 27/02/2010,        8143
09:00:00 28/02/2010,        8369
09:00:00 01/03/2010,        8418
09:00:00 02/03/2010,        8266
09:00:00 03/03/2010,        8064
09:00:00 04/03/2010,        8018
09:00:00 05/03/2010,        8362
09:00:00 06/03/2010,        8834
09:00:00 07/03/2010,        9032
09:00:00 08/03/2010,        9101
09:00:00 09/03/2010,        9169
09:00:00 10/03/2010,        9143
09:00:00 11/03/2010,        9022
09:00:00 12/03/2010,        8460
09:00:00 13/03/2010,        7663
09:00:00 14/03/2010,        6731
09:00:00 15/03/2010,        6535
09:00:00 16/03/2010,        6616
09:00:00 17/03/2010,        6296
09:00:00 18/03/2010,        5860
09:00:00 19/03/2010,        5927
09:00:00 20/03/2010,        6290
09:00:00 21/03/2010,        6950
09:00:00 22/03/2010,        7741
09:00:00 23/03/2010,        8056
09:00:00 24/03/2010,        8044
09:00:00 25/03/2010,        7557
09:00:00 26/03/2010,        7807
09:00:00 27/03/2010,        8061
09:00:00 28/03/2010,        7863
09:00:00 29/03/2010,        8050
09:00:00 30/03/2010,        8056
09:00:00 31/03/2010,        7905
09:00:00 01/04/2010,        7397
09:00:00 02/04/2010,        6870
09:00:00 03/04/2010,        6726
09:00:00 04/04/2010,        6691
09:00:00 05/04/2010,        6691
09:00:00 06/04/2010,        6750
09:00:00 07/04/2010,        6751
09:00:00 08/04/2010,        6709
09:00:00 09/04/2010,        6782
09:00:00 10/04/2010,        6820
09:00:00 11/04/2010,        6872
09:00:00 12/04/2010,        6838
09:00:00 13/04/2010,        6678
09:00:00 14/04/2010,        6633
09:00:00 15/04/2010,        6682
09:00:00 16/04/2010,        6772
09:00:00 17/04/2010,        6835
09:00:00 18/04/2010,        6688
09:00:00 19/04/2010,        6670
09:00:00 20/04/2010,        6863
09:00:00 21/04/2010,        6827
09:00:00 22/04/2010,        6686
09:00:00 23/04/2010,        6861
09:00:00 24/04/2010,        6861
09:00:00 25/04/2010,        6727
09:00:00 26/04/2010,        6765
09:00:00 27/04/2010,        6793
09:00:00 28/04/2010,        6832
09:00:00 29/04/2010,        6804
09:00:00 30/04/2010,        6909
09:00:00 01/05/2010,        6489
09:00:00 02/05/2010,        5401
09:00:00 03/05/2010,        5272
09:00:00 04/05/2010,        5630
09:00:00 05/05/2010,        5621
09:00:00 06/05/2010,        5579
09:00:00 07/05/2010,        6775
09:00:00 08/05/2010,        6658
09:00:00 09/05/2010,        5234
09:00:00 10/05/2010,        5129
09:00:00 11/05/2010,        5402
09:00:00 12/05/2010,        5438
09:00:00 13/05/2010,        5405
09:00:00 14/05/2010,        5223
09:00:00 15/05/2010,        5294
09:00:00 16/05/2010,        5626
09:00:00 17/05/2010,        5761
09:00:00 18/05/2010,        5635
09:00:00 19/05/2010,        5608
09:00:00 20/05/2010,        5631
09:00:00 21/05/2010,        5665
09:00:00 22/05/2010,        5726
09:00:00 23/05/2010,        5663
09:00:00 24/05/2010,        5628
09:00:00 25/05/2010,        6076
09:00:00 26/05/2010,        6139
09:00:00 27/05/2010,        5880
09:00:00 28/05/2010,        5735
09:00:00 29/05/2010,        5421
09:00:00 30/05/2010,        5632
09:00:00 31/05/2010,        6042
09:00:00 01/06/2010,        5392
09:00:00 02/06/2010,        4422
09:00:00 03/06/2010,        4312
09:00:00 04/06/2010,        4382
09:00:00 05/06/2010,        4192
09:00:00 06/06/2010,        4225
09:00:00 07/06/2010,        4257
09:00:00 08/06/2010,        4190
09:00:00 09/06/2010,        4243
09:00:00 10/06/2010,        4345
09:00:00 11/06/2010,        4347
09:00:00 12/06/2010,        4152
09:00:00 13/06/2010,        4158
09:00:00 14/06/2010,        4239
09:00:00 15/06/2010,        4209
09:00:00 16/06/2010,        4158
09:00:00 17/06/2010,        4201
09:00:00 18/06/2010,        4394
09:00:00 19/06/2010,        4304
09:00:00 20/06/2010,        4127
09:00:00 21/06/2010,        4149
09:00:00 22/06/2010,        4214
09:00:00 23/06/2010,        4045
09:00:00 24/06/2010,        3939
09:00:00 25/06/2010,        4213
09:00:00 26/06/2010,        4434
09:00:00 27/06/2010,        4416
09:00:00 28/06/2010,        4312
09:00:00 29/06/2010,        4185
09:00:00 30/06/2010,        4176
09:00:00 01/07/2010,        4220
09:00:00 02/07/2010,        4184
09:00:00 03/07/2010,        4255
09:00:00 04/07/2010,        4372
09:00:00 05/07/2010,        4302
09:00:00 06/07/2010,        4222
09:00:00 07/07/2010,        5219
09:00:00 08/07/2010,        5553
09:00:00 09/07/2010,        4826
09:00:00 10/07/2010,        4655
09:00:00 11/07/2010,        4777
09:00:00 12/07/2010,        4800
09:00:00 13/07/2010,        4592
09:00:00 14/07/2010,        4894
09:00:00 15/07/2010,        5159
09:00:00 16/07/2010,        4797
09:00:00 17/07/2010,        4443
09:00:00 18/07/2010,        4215
09:00:00 19/07/2010,        4122
09:00:00 20/07/2010,        4098
09:00:00 21/07/2010,        4219
09:00:00 22/07/2010,        4222
09:00:00 23/07/2010,        4034
09:00:00 24/07/2010,        4107
09:00:00 25/07/2010,        4293
09:00:00 26/07/2010,        4209
09:00:00 27/07/2010,        4163
09:00:00 28/07/2010,        4319
09:00:00 29/07/2010,        4382
09:00:00 30/07/2010,        4328
09:00:00 31/07/2010,        4409
09:00:00 01/08/2010,        5613
09:00:00 02/08/2010,        6578
09:00:00 03/08/2010,        6781
09:00:00 04/08/2010,        7045
09:00:00 05/08/2010,        6991
09:00:00 06/08/2010,        6713
09:00:00 07/08/2010,        6783
09:00:00 08/08/2010,        7194
09:00:00 09/08/2010,        7693
09:00:00 10/08/2010,        7015
09:00:00 11/08/2010,        6717
09:00:00 12/08/2010,        6998
09:00:00 13/08/2010,        7059
09:00:00 14/08/2010,        7156
09:00:00 15/08/2010,        7045
09:00:00 16/08/2010,        6923
09:00:00 17/08/2010,        6980
09:00:00 18/08/2010,        7048
09:00:00 19/08/2010,        7045
09:00:00 20/08/2010,        7002
09:00:00 21/08/2010,        7019
09:00:00 22/08/2010,        7143
09:00:00 23/08/2010,        7153
09:00:00 24/08/2010,        6861
09:00:00 25/08/2010,        6899
09:00:00 26/08/2010,        6912
09:00:00 27/08/2010,        7019
09:00:00 28/08/2010,        7076
09:00:00 29/08/2010,        7478
09:00:00 30/08/2010,        7702
09:00:00 31/08/2010,        8073
09:00:00 01/09/2010,        9046
09:00:00 02/09/2010,       10015
09:00:00 03/09/2010,       10944
09:00:00 04/09/2010,       11821
09:00:00 05/09/2010,       12678
09:00:00 06/09/2010,       13225
09:00:00 07/09/2010,       13810
09:00:00 08/09/2010,       14277
09:00:00 09/09/2010,       14403
09:00:00 10/09/2010,       14529
09:00:00 11/09/2010,       14837
09:00:00 12/09/2010,       15119
09:00:00 13/09/2010,       15237
09:00:00 14/09/2010,       15579
09:00:00 15/09/2010,       16128
09:00:00 16/09/2010,       16942
09:00:00 17/09/2010,       17676
09:00:00 18/09/2010,       17894
09:00:00 19/09/2010,       17838
09:00:00 20/09/2010,       17779
09:00:00 21/09/2010,       17872
09:00:00 22/09/2010,       18301
09:00:00 23/09/2010,       18959
09:00:00 24/09/2010,       19236
09:00:00 25/09/2010,       19511
09:00:00 26/09/2010,       19949
09:00:00 27/09/2010,       20286
09:00:00 28/09/2010,       20885
09:00:00 29/09/2010,       21459
09:00:00 30/09/2010,       22002
09:00:00 01/10/2010,       22325
09:00:00 02/10/2010,       24286
09:00:00 03/10/2010,       26316
09:00:00 04/10/2010,       28043
09:00:00 05/10/2010,       29422
09:00:00 06/10/2010,       28721
09:00:00 07/10/2010,       28250
09:00:00 08/10/2010,       29145
09:00:00 09/10/2010,       28627
09:00:00 10/10/2010,       27690
09:00:00 11/10/2010,       27690
09:00:00 12/10/2010,       27857
09:00:00 13/10/2010,       28167
09:00:00 14/10/2010,       28478
09:00:00 15/10/2010,       29047
09:00:00 16/10/2010,       28901
09:00:00 17/10/2010,       29150
09:00:00 18/10/2010,       29905
09:00:00 19/10/2010,       30054
09:00:00 20/10/2010,       30583
09:00:00 21/10/2010,       30944
09:00:00 22/10/2010,       30251
09:00:00 23/10/2010,       28459
09:00:00 24/10/2010,       27052
09:00:00 25/10/2010,       26854
09:00:00 26/10/2010,       27418
09:00:00 27/10/2010,       27646
09:00:00 28/10/2010,       27203
09:00:00 29/10/2010,       27689
09:00:00 30/10/2010,       27973
09:00:00 31/10/2010,       28278
09:00:00 01/11/2010,       28611
09:00:00 02/11/2010,       29589
09:00:00 03/11/2010,       31390
09:00:00 04/11/2010,       32773
09:00:00 05/11/2010,       32379
09:00:00 06/11/2010,       32257
09:00:00 07/11/2010,       33356
09:00:00 08/11/2010,       33482
09:00:00 09/11/2010,       33222
09:00:00 10/11/2010,       33223
09:00:00 11/11/2010,       34049
09:00:00 12/11/2010,       34963
09:00:00 13/11/2010,       36220
09:00:00 14/11/2010,       37579
09:00:00 15/11/2010,       37515
09:00:00 16/11/2010,       38646
09:00:00 17/11/2010,       42134
09:00:00 18/11/2010,       44014
09:00:00 19/11/2010,       44557
09:00:00 20/11/2010,       44884
09:00:00 21/11/2010,       46173
09:00:00 22/11/2010,       47807
09:00:00 23/11/2010,       49529
09:00:00 24/11/2010,       51446
09:00:00 25/11/2010,       52572
09:00:00 26/11/2010,       53131
09:00:00 27/11/2010,       53744
09:00:00 28/11/2010,       54311
09:00:00 29/11/2010,       54609
09:00:00 30/11/2010,       55235
09:00:00 01/12/2010,       56309
09:00:00 02/12/2010,       56376
09:00:00 03/12/2010,       56785
09:00:00 04/12/2010,       58532
09:00:00 05/12/2010,       60487
09:00:00 06/12/2010,       61578
09:00:00 07/12/2010,       62099
09:00:00 08/12/2010,       64083
09:00:00 09/12/2010,       65128
09:00:00 10/12/2010,       63509
09:00:00 11/12/2010,       62406
09:00:00 12/12/2010,       62590
09:00:00 13/12/2010,       62930
09:00:00 14/12/2010,       63643
09:00:00 15/12/2010,       64679
09:00:00 16/12/2010,       65349
09:00:00 17/12/2010,       66274
09:00:00 18/12/2010,       67083
09:00:00 19/12/2010,       67218
09:00:00 20/12/2010,       67059
09:00:00 21/12/2010,       66923
09:00:00 22/12/2010,       66348
09:00:00 23/12/2010,       65481
09:00:00 24/12/2010,       65158
09:00:00 25/12/2010,       64593
09:00:00 26/12/2010,       63741
09:00:00 27/12/2010,       62327
09:00:00 28/12/2010,       60677
09:00:00 29/12/2010,       59015
09:00:00 30/12/2010,       57946
09:00:00 31/12/2010,       57297
09:00:00 01/01/2011,       56540
09:00:00 02/01/2011,       56092
09:00:00 03/01/2011,       55950
09:00:00 04/01/2011,       55951
09:00:00 05/01/2011,       56282
09:00:00 06/01/2011,       56731
09:00:00 07/01/2011,       57206
09:00:00 08/01/2011,       57831
09:00:00 09/01/2011,       58642
09:00:00 10/01/2011,       57893
09:00:00 11/01/2011,       58780
09:00:00 12/01/2011,       61303
09:00:00 13/01/2011,       62805
09:00:00 14/01/2011,       64742
09:00:00 15/01/2011,       65481
09:00:00 16/01/2011,       65538
09:00:00 17/01/2011,       66244
09:00:00 18/01/2011,       66955
09:00:00 19/01/2011,       67905
09:00:00 20/01/2011,       69145
09:00:00 21/01/2011,       70468
09:00:00 22/01/2011,       71323
09:00:00 23/01/2011,       71773
09:00:00 24/01/2011,       72471
09:00:00 25/01/2011,       73136
09:00:00 26/01/2011,       73845
09:00:00 27/01/2011,       74520
09:00:00 28/01/2011,       74986
09:00:00 29/01/2011,       75710
09:00:00 30/01/2011,       76655
09:00:00 31/01/2011,       77350
09:00:00 01/02/2011,       77830
09:00:00 02/02/2011,       78575
09:00:00 03/02/2011,       79550
09:00:00 04/02/2011,       81346
09:00:00 05/02/2011,       85275
09:00:00 06/02/2011,       88507
09:00:00 07/02/2011,       89530
09:00:00 08/02/2011,       90361
09:00:00 09/02/2011,       90566
09:00:00 10/02/2011,       90905
09:00:00 11/02/2011,       91996
09:00:00 12/02/2011,       92501
09:00:00 13/02/2011,       93241
09:00:00 14/02/2011,       93125
09:00:00 15/02/2011,       89589
09:00:00 16/02/2011,       87401
09:00:00 17/02/2011,       87358
09:00:00 18/02/2011,       86832
09:00:00 19/02/2011,       86590
09:00:00 20/02/2011,       86027
09:00:00 21/02/2011,       84991
09:00:00 22/02/2011,       84240
09:00:00 23/02/2011,       83182
09:00:00 24/02/2011,       82212
09:00:00 25/02/2011,       81712
09:00:00 26/02/2011,       81752
09:00:00 27/02/2011,       81982
09:00:00 28/02/2011,       81711
09:00:00 01/03/2011,       81213
09:00:00 02/03/2011,       80716
09:00:00 03/03/2011,       79958
09:00:00 04/03/2011,       79243
09:00:00 05/03/2011,       78756
09:00:00 06/03/2011,       78271
09:00:00 07/03/2011,       77789
09:00:00 08/03/2011,       77310
09:00:00 09/03/2011,       77091
09:00:00 10/03/2011,       76833
09:00:00 11/03/2011,       76358
09:00:00 12/03/2011,       75886
09:00:00 13/03/2011,       75924
09:00:00 14/03/2011,       75886
09:00:00 15/03/2011,       75924
09:00:00 16/03/2011,       75885
09:00:00 17/03/2011,       75415
09:00:00 18/03/2011,       74948
09:00:00 19/03/2011,       74984
09:00:00 20/03/2011,       74449
09:00:00 21/03/2011,       75324
09:00:00 22/03/2011,       76358
09:00:00 23/03/2011,       75886
09:00:00 24/03/2011,       75924
09:00:00 25/03/2011,       76141
09:00:00 26/03/2011,       75885
09:00:00 27/03/2011,       75415
09:00:00 28/03/2011,       74893
09:00:00 29/03/2011,       74686
09:00:00 30/03/2011,       74231
09:00:00 31/03/2011,       73557
09:00:00 01/04/2011,       73098
09:00:00 02/04/2011,       72641
09:00:00 03/04/2011,       71943
09:00:00 04/04/2011,       71286
09:00:00 05/04/2011,       71080
09:00:00 06/04/2011,       70837
09:00:00 07/04/2011,       70153
09:00:00 08/04/2011,       69509
09:00:00 09/04/2011,       69070
09:00:00 10/04/2011,       68633
09:00:00 11/04/2011,       68196
09:00:00 12/04/2011,       66462
09:00:00 13/04/2011,       64592
09:00:00 14/04/2011,       63190
09:00:00 15/04/2011,       61678
09:00:00 16/04/2011,       60170
09:00:00 17/04/2011,       58541
09:00:00 18/04/2011,       57296
09:00:00 19/04/2011,       55883
09:00:00 20/04/2011,       54561
09:00:00 21/04/2011,       53990
09:00:00 22/04/2011,       53694
09:00:00 23/04/2011,       53399
09:00:00 24/04/2011,       52635
09:00:00 25/04/2011,       51790
09:00:00 26/04/2011,       51065
09:00:00 27/04/2011,       50217
09:00:00 28/04/2011,       49232
09:00:00 29/04/2011,       48280
09:00:00 30/04/2011,       47180
09:00:00 01/05/2011,       46004
09:00:00 02/05/2011,       45114
09:00:00 03/05/2011,       43558
09:00:00 04/05/2011,       41499
09:00:00 05/05/2011,       39867
09:00:00 06/05/2011,       38540
09:00:00 07/05/2011,       37733
09:00:00 08/05/2011,       37213
09:00:00 09/05/2011,       36713
09:00:00 10/05/2011,       35883
09:00:00 11/05/2011,       34705
09:00:00 12/05/2011,       33657
09:00:00 13/05/2011,       32818
09:00:00 14/05/2011,       32078
09:00:00 15/05/2011,       31358
09:00:00 16/05/2011,       30414
09:00:00 17/05/2011,       28533
09:00:00 18/05/2011,       26970
09:00:00 19/05/2011,       26620
09:00:00 20/05/2011,       26041
09:00:00 21/05/2011,       24563
09:00:00 22/05/2011,       23309
09:00:00 23/05/2011,       22662
09:00:00 24/05/2011,       21953
09:00:00 25/05/2011,       21446
09:00:00 26/05/2011,       21347
09:00:00 27/05/2011,       21347
09:00:00 28/05/2011,       21640
09:00:00 29/05/2011,       21756
09:00:00 30/05/2011,       21578
09:00:00 31/05/2011,""
09:00:00 01/06/2011,""
09:00:00 02/06/2011,""
09:00:00 03/06/2011,""
09:00:00 04/06/2011,       22782
09:00:00 05/06/2011,       22894
09:00:00 06/06/2011,       22885
09:00:00 07/06/2011,       22766
09:00:00 08/06/2011,       22515
09:00:00 09/06/2011,       22094
09:00:00 10/06/2011,       22057
09:00:00 11/06/2011,       22202
09:00:00 12/06/2011,       22146
09:00:00 13/06/2011,       21796
09:00:00 14/06/2011,       20868
09:00:00 15/06/2011,       20012
09:00:00 16/06/2011,       19757
09:00:00 17/06/2011,       19689
09:00:00 18/06/2011,       19638
09:00:00 19/06/2011,       19757
09:00:00 20/06/2011,       19917
09:00:00 21/06/2011,       20088
09:00:00 22/06/2011,       20304
09:00:00 23/06/2011,       20707
09:00:00 24/06/2011,       21029
09:00:00 25/06/2011,       21082
09:00:00 26/06/2011,       21019
09:00:00 27/06/2011,       20903
09:00:00 28/06/2011,       20727
09:00:00 29/06/2011,       20085
09:00:00 30/06/2011,       19227
09:00:00 01/07/2011,       18763
09:00:00 02/07/2011,       18498
09:00:00 03/07/2011,       18247
09:00:00 04/07/2011,       17974
09:00:00 05/07/2011,       17723
09:00:00 06/07/2011,       17587
09:00:00 07/07/2011,       17657
09:00:00 08/07/2011,       19472
09:00:00 09/07/2011,       22074
09:00:00 10/07/2011,       23570
09:00:00 11/07/2011,       24345
09:00:00 12/07/2011,       24701
09:00:00 13/07/2011,       25381
09:00:00 14/07/2011,       26212
09:00:00 15/07/2011,       27635
09:00:00 16/07/2011,       29659
09:00:00 17/07/2011,       30629
09:00:00 18/07/2011,       30527
09:00:00 19/07/2011,       30290
09:00:00 20/07/2011,       30391
09:00:00 21/07/2011,       30453
09:00:00 22/07/2011,       30734
09:00:00 23/07/2011,       32015
09:00:00 24/07/2011,       33254
09:00:00 25/07/2011,       33702
09:00:00 26/07/2011,       33892
09:00:00 27/07/2011,       33877
09:00:00 28/07/2011,       33789
09:00:00 29/07/2011,       33789
09:00:00 30/07/2011,       33996
09:00:00 31/07/2011,       34171
09:00:00 01/08/2011,       34275
09:00:00 02/08/2011,       34363
09:00:00 03/08/2011,       34467
09:00:00 04/08/2011,       34450
09:00:00 05/08/2011,       33643
09:00:00 06/08/2011,       31951
09:00:00 07/08/2011,       30154
09:00:00 08/08/2011,       28563
09:00:00 09/08/2011,       27911
09:00:00 10/08/2011,       28055
09:00:00 11/08/2011,       27315
09:00:00 12/08/2011,       26950
09:00:00 13/08/2011,       27561
09:00:00 14/08/2011,       27929
09:00:00 15/08/2011,       28339
09:00:00 16/08/2011,       30511
09:00:00 17/08/2011,       34501
09:00:00 18/08/2011,       37867
09:00:00 19/08/2011,       40004
09:00:00 20/08/2011,       40729
09:00:00 21/08/2011,       40368
09:00:00 22/08/2011,       40028
09:00:00 23/08/2011,       40047
09:00:00 24/08/2011,       40279
09:00:00 25/08/2011,       40136
09:00:00 26/08/2011,       40427
09:00:00 27/08/2011,       40857
09:00:00 28/08/2011,       40602
09:00:00 29/08/2011,       40134
09:00:00 30/08/2011,       39422
09:00:00 31/08/2011,       38546
09:00:00 01/09/2011,       37495
09:00:00 02/09/2011,       35334
09:00:00 03/09/2011,       32867
09:00:00 04/09/2011,       31087
09:00:00 05/09/2011,       29853
09:00:00 06/09/2011,       28647
09:00:00 07/09/2011,       27474
09:00:00 08/09/2011,       26718
09:00:00 09/09/2011,       26386
09:00:00 10/09/2011,       26536
09:00:00 11/09/2011,       26963
09:00:00 12/09/2011,       27357
09:00:00 13/09/2011,       27772
09:00:00 14/09/2011,       27335
09:00:00 15/09/2011,       27269
09:00:00 16/09/2011,       28363
09:00:00 17/09/2011,       29279
09:00:00 18/09/2011,       29744
09:00:00 19/09/2011,       29891
09:00:00 20/09/2011,       30066
09:00:00 21/09/2011,       30215
09:00:00 22/09/2011,       30129
09:00:00 23/09/2011,       30870
09:00:00 24/09/2011,       32460
09:00:00 25/09/2011,       33736
09:00:00 26/09/2011,       34590
09:00:00 27/09/2011,       35263
09:00:00 28/09/2011,       35424
09:00:00 29/09/2011,       34088
09:00:00 30/09/2011,       31159
09:00:00 01/10/2011,       28655
09:00:00 02/10/2011,       26855
09:00:00 03/10/2011,       24770
09:00:00 04/10/2011,       22226
09:00:00 05/10/2011,       19763
09:00:00 06/10/2011,       18367
09:00:00 07/10/2011,       17340
09:00:00 08/10/2011,       16914
09:00:00 09/10/2011,       17054
09:00:00 10/10/2011,       16889
09:00:00 11/10/2011,       16110
09:00:00 12/10/2011,       15835
09:00:00 13/10/2011,       16288
09:00:00 14/10/2011,       16526
09:00:00 15/10/2011,       16446
09:00:00 16/10/2011,       15648
09:00:00 17/10/2011,       14866
09:00:00 18/10/2011,       13711
09:00:00 19/10/2011,       12754
09:00:00 20/10/2011,       12797
09:00:00 21/10/2011,       13047
09:00:00 22/10/2011,       13299
09:00:00 23/10/2011,       13552
09:00:00 24/10/2011,       13657
09:00:00 25/10/2011,       13245
09:00:00 26/10/2011,       12958
09:00:00 27/10/2011,       13682
09:00:00 28/10/2011,       14250
09:00:00 29/10/2011,       14294
09:00:00 30/10/2011,       14294
09:00:00 31/10/2011,       14155
09:00:00 01/11/2011,       13665
09:00:00 02/11/2011,       13362
09:00:00 03/11/2011,       13286
09:00:00 04/11/2011,       12866
09:00:00 05/11/2011,       11634
09:00:00 06/11/2011,       10411
09:00:00 07/11/2011,        9840
09:00:00 08/11/2011,       10396
09:00:00 09/11/2011,       11193
09:00:00 10/11/2011,       11281
09:00:00 11/11/2011,       11197
09:00:00 12/11/2011,       10673
09:00:00 13/11/2011,        9715
09:00:00 14/11/2011,        9006
09:00:00 15/11/2011,        8636
09:00:00 16/11/2011,        8734
09:00:00 17/11/2011,        8770
09:00:00 18/11/2011,        8891
09:00:00 19/11/2011,        8815
09:00:00 20/11/2011,        8588
09:00:00 21/11/2011,        8684
09:00:00 22/11/2011,        9043
09:00:00 23/11/2011,        9181
09:00:00 24/11/2011,        8946
09:00:00 25/11/2011,        9180
09:00:00 26/11/2011,        9068
09:00:00 27/11/2011,        8602
09:00:00 28/11/2011,        8317
09:00:00 29/11/2011,        8282
09:00:00 30/11/2011,        8823
09:00:00 01/12/2011,        9290
09:00:00 02/12/2011,       10501
09:00:00 03/12/2011,       12081
09:00:00 04/12/2011,       12607
09:00:00 05/12/2011,       12474
09:00:00 06/12/2011,       12361
09:00:00 07/12/2011,       12383
09:00:00 08/12/2011,       14791
09:00:00 09/12/2011,       16832
09:00:00 10/12/2011,       16570
09:00:00 11/12/2011,       16320
09:00:00 12/12/2011,       16302
09:00:00 13/12/2011,       16655
09:00:00 14/12/2011,       16930
09:00:00 15/12/2011,       16679
09:00:00 16/12/2011,       16485
09:00:00 17/12/2011,       16654
09:00:00 18/12/2011,       16740
09:00:00 19/12/2011,       16125
09:00:00 20/12/2011,       15118
09:00:00 21/12/2011,       14904
09:00:00 22/12/2011,       15368
09:00:00 23/12/2011,       15734
09:00:00 24/12/2011,""
09:00:00 25/12/2011,""
09:00:00 26/12/2011,""
09:00:00 27/12/2011,       20458
09:00:00 28/12/2011,       22389
09:00:00 29/12/2011,       24267
09:00:00 30/12/2011,       24816
09:00:00 31/12/2011,       25056
09:00:00 01/01/2012,       25383
09:00:00 02/01/2012,       25404
09:00:00 03/01/2012,       25484
09:00:00 04/01/2012,       23812
09:00:00 05/01/2012,       20899
09:00:00 06/01/2012,       19328
09:00:00 07/01/2012,       19279
09:00:00 08/01/2012,       19257
09:00:00 09/01/2012,       18007
09:00:00 10/01/2012,       16900
09:00:00 11/01/2012,       16611
09:00:00 12/01/2012,       16395
09:00:00 13/01/2012,       16510
09:00:00 14/01/2012,       16628
09:00:00 15/01/2012,       16485
09:00:00 16/01/2012,       16327
09:00:00 17/01/2012,       16208
09:00:00 18/01/2012,       17103
09:00:00 19/01/2012,       16879
09:00:00 20/01/2012,       16168
09:00:00 21/01/2012,       16401
09:00:00 22/01/2012,       16384
09:00:00 23/01/2012,       15623
09:00:00 24/01/2012,       14951
09:00:00 25/01/2012,       15166
09:00:00 26/01/2012,       15166
09:00:00 27/01/2012,       14891
09:00:00 28/01/2012,       15051
09:00:00 29/01/2012,       15229
09:00:00 30/01/2012,       15113
09:00:00 31/01/2012,       14910
09:00:00 01/02/2012,       14962
09:00:00 02/02/2012,       15035
09:00:00 03/02/2012,       15641
09:00:00 04/02/2012,       16402
09:00:00 05/02/2012,       16475
09:00:00 06/02/2012,       16361
09:00:00 07/02/2012,       16376
09:00:00 08/02/2012,       17049
09:00:00 09/02/2012,       18298
09:00:00 10/02/2012,       20902
09:00:00 11/02/2012,       24154
09:00:00 12/02/2012,       25332
09:00:00 13/02/2012,       25291
